RACE_ETHNICITY,CASES,CASE_PERCENTAGE,DEATHS,DEATH_PERCENTAGE,PERCENT_CA_POPULATION,DATE
White,18783,18.1,1594,33.2,36.6,6/12/2020
Asian,8271,8,709,14.8,15.4,6/12/2020
Black,4906,4.7,458,9.5,6,6/12/2020
Multi-Race,775,0.7,33,0.7,2.2,6/12/2020
Other,11654,11.2,34,0.7,0,6/12/2020
Latino,59702,56.4,1985,40.4,38.9,6/13/2020
White,19045,18,1632,33.2,36.6,6/13/2020
Asian,8350,7.9,722,14.7,15.4,6/13/2020
Black,4966,4.7,470,9.6,6,6/13/2020
Multi-Race,789,0.7,35,0.7,2.2,6/13/2020
Other,11981,11.3,35,0.7,0,6/13/2020
Latino,60377,56.3,1992,40.4,38.9,6/14/2020
White,19240,17.9,1639,33.2,36.6,6/14/2020
Asian,8397,7.8,724,14.7,15.4,6/14/2020
Black,4999,4.7,471,9.5,6,6/14/2020
Multi-Race,789,0.7,36,0.7,2.2,6/14/2020
Other,12444,11.6,36,0.7,0,6/14/2020
Latino,61492,56.4,2004,40.4,38.9,6/15/2020
White,19424,17.8,1646,33.2,36.6,6/15/2020
Asian,8448,7.7,726,14.6,15.4,6/15/2020
Black,5043,4.6,474,9.6,6,6/15/2020
Multi-Race,794,0.7,36,0.7,2.2,6/15/2020
Other,12858,11.8,36,0.7,0,6/15/2020
Latino,63202,56.6,2029,40.5,38.9,6/16/2020
White,19766,17.7,1660,33.1,36.6,6/16/2020
Asian,8538,7.6,734,14.6,15.4,6/16/2020
Black,5128,4.6,479,9.6,6,6/16/2020
Multi-Race,803,0.7,36,0.7,2.2,6/16/2020
Other,13325,11.9,40,0.8,0,6/16/2020
Latino,64787,56.6,2057,40.5,38.9,6/17/2020
White,20087,17.6,1687,33.2,36.6,6/17/2020
Asian,8652,7.6,745,14.7,15.4,6/17/2020
Black,5202,4.5,484,9.5,6,6/17/2020
Multi-Race,819,0.7,35,0.7,2.2,6/17/2020
Other,13841,12.1,39,0.8,0,6/17/2020
Latino,66261,56.7,2085,40.4,38.9,6/18/2020
White,20475,17.5,1712,33.1,36.6,6/18/2020
Asian,8749,7.5,758,14.7,15.4,6/18/2020
Black,5296,4.5,491,9.5,6,6/18/2020
Multi-Race,837,0.7,36,0.7,2.2,6/18/2020
Other,14270,12.2,47,0.9,0,6/18/2020
Latino,67818,56.8,2115,40.4,38.9,6/19/2020
White,20780,17.4,1739,33.2,36.6,6/19/2020
Asian,8819,7.4,765,14.6,15.4,6/19/2020
Black,5384,4.5,495,9.5,6,6/19/2020
Multi-Race,865,0.7,36,0.7,2.2,6/19/2020
Other,14722,12.3,45,0.9,0,6/19/2020
Latino,69392,56.8,2170,40.6,38.9,6/20/2020
White,21177,17.3,1779,33.3,36.6,6/20/2020
Asian,8941,7.3,774,14.5,15.4,6/20/2020
Black,5485,4.5,501,9.4,6,6/20/2020
Multi-Race,886,0.7,37,0.7,2.2,6/20/2020
Other,15321,12.5,47,0.9,0,6/20/2020
Latino,70439,56.6,2182,40.7,38.9,6/21/2020
White,21547,17.3,1784,33.3,36.6,6/21/2020
Asian,9010,7.2,774,14.4,15.4,6/21/2020
Black,5573,4.5,502,9.4,6,6/21/2020
Multi-Race,901,0.7,37,0.7,2.2,6/21/2020
Other,15988,12.8,47,0.9,0,6/21/2020
Latino,71350,56.2,2192,40.7,38.9,6/22/2020
White,21885,17.2,1787,33.2,36.6,6/22/2020
Asian,9100,7.2,778,14.4,15.4,6/22/2020
Black,5661,4.5,506,9.4,6,6/22/2020
Multi-Race,908,0.7,37,0.7,2.2,6/22/2020
Other,16987,13.4,47,0.9,0,6/22/2020
Latino,73357,56,2225,41,38.9,6/23/2020
White,22500,17.2,1783,32.8,36.6,6/23/2020
Asian,9259,7.1,785,14.5,15.4,6/23/2020
Black,5845,4.5,511,9.4,6,6/23/2020
Multi-Race,925,0.7,37,0.7,2.2,6/23/2020
Other,17930,13.7,50,0.9,0,6/23/2020
Latino,76036,56.6,2265,41,38.9,6/24/2020
White,22871,17,1807,32.7,36.6,6/24/2020
Asian,9422,7,805,14.6,15.4,6/24/2020
Black,5981,4.5,519,9.4,6,6/24/2020
Multi-Race,935,0.7,38,0.7,2.2,6/24/2020
Other,18038,13.4,51,0.9,0,6/24/2020
Latino,77926,56.7,2309,41.1,38.9,6/25/2020
White,23339,17,1844,32.8,36.6,6/25/2020
